"Fiscal Year","Budget Type","Dept ID","Department","APU","IPU","Appropriation","Fund","Amount"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Personnel Costs","GF","5,484.6"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Travel","GF","44.8"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Contractual Services","GF","472.6"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Supplies and Materials","GF","40.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Expenses - House Members","GF","363.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","House Committee Expenses","GF","15.0"
"2016","EXP","010101","Legislative","General Assembly, House","General Assembly, House","Mileage - Legislative","GF","70.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Personnel Costs","GF","3,717.2"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Travel","GF","22.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Contractual Services","GF","177.3"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Supplies and Materials","GF","50.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Capital Outlay","GF","20.0"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Expenses - Senate Members","GF","185.7"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Mileage - Legislative","GF","42.3"
"2016","EXP","010201","Legislative","General Assembly, Senate","General Assembly, Senate","Senate Committee Expenses","GF","35.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Travel","GF","10.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Contractual Services","GF","40.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Supplies and Materials","GF","0.5"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Council of State Governments","GF","98.4"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Delaware River Basin Commission","GF","447.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Eastern Trade Council","GF","5.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Interstate Agric Commission","GF","25.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Legislation for Gaming States","GF","20.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Legislative Travel","GF","20.0"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","Nat. Conf. State Legislatures","GF","119.5"
"2016","EXP","010501","Legislative","Commission on Interstate Cooperation","Commission on Interstate Cooperation","State and Local Legal Center, NCSL","GF","3.0"
"2016","EXP","010801","Legislative","Legislative Council","Research","Personnel Costs","GF","1,336.9"
"2016","EXP","010801","Legislative","Legislative Council","Research","Travel","GF","18.3"
"2016","EXP","010801","Legislative","Legislative Council","Research","Contractual Services","GF","261.4"
"2016","EXP","010801","Legislative","Legislative Council","Research","Supplies and Materials","GF","119.7"
"2016","EXP","010801","Legislative","Legislative Council","Research","Capital Outlay","GF","30.0"
"2016","EXP","010801","Legislative","Legislative Council","Research","Printing - Laws and Journals","GF","38.5"
"2016","EXP","010801","Legislative","Legislative Council","Research","Sunset Committee Expenses","GF","7.5"
"2016","EXP","010801","Legislative","Legislative Council","Research","Technical Advisory Office","GF","47.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Personnel Costs","GF","1,503.6"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Travel","GF","7.2"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Contractual Services","GF","488.1"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Supplies and Materials","GF","70.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Capital Outlay","GF","27.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Clean Air Policy Committee","GF","10.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Family Law Commission Expenses","GF","8.3"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Internship Contingency","GF","5.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","JFC/CIP Contingency","GF","15.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Legislative Council","GF","25.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Security","GF","30.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","U. of D. Senior Center Formula Update","GF","25.0"
"2016","EXP","010802","Legislative","Legislative Council","Office of the Controller General","Chase/JP Morgan Settlement","ASF","0.0"
"2016","EXP","010803","Legislative","Legislative Council","Code Revisors","Travel","GF","1.1"
"2016","EXP","010803","Legislative","Legislative Council","Code Revisors","Contractual Services","GF","170.8"
"2016","EXP","010803","Legislative","Legislative Council","Code Revisors","Supplies and Materials","GF","0.5"
"2016","EXP","010806","Legislative","Legislative Council","Comm. on Uniform State Laws","Travel","GF","17.0"
"2016","EXP","010806","Legislative","Legislative Council","Comm. on Uniform State Laws","Contractual Services","GF","32.0"
"2016","EXP","010806","Legislative","Legislative Council","Comm. on Uniform State Laws","Supplies and Materials","GF","0.2"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Personnel Costs","GF","3,140.4"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Travel","GF","15.8"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Contractual Services","GF","168.4"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Energy","GF","7.5"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Supplies and Materials","GF","36.4"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Personnel Costs","ASF","9.4"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Travel","ASF","6.8"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Contractual Services","ASF","101.4"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Supplies and Materials","ASF","5.0"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Capital Outlay","ASF","6.7"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Court Security","ASF","0.0"
"2016","EXP","020110","Judicial","Supreme Court","Supreme Court","Technology","ASF","20.0"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Personnel Costs","GF","3,197.4"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Personnel Costs","ASF","1,113.6"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Travel","ASF","13.0"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Contractual Services","ASF","480.3"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Supplies and Materials","ASF","63.5"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Capital Outlay","ASF","35.0"
"2016","EXP","020210","Judicial","Court of Chancery","Court of Chancery","Court Security","ASF","13.0"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Personnel Costs","GF","23,736.4"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Travel","GF","64.1"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Contractual Services","GF","352.7"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Supplies and Materials","GF","227.0"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Capital Outlay","GF","46.0"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Jury Expenses","GF","597.8"
"2016","EXP","020310","Judicial","Superior Court","Superior Court","Court Security","ASF","92.0"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Personnel Costs","GF","9,671.3"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Travel","GF","13.7"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Contractual Services","GF","335.6"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Supplies and Materials","GF","90.6"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Capital Outlay","GF","10.7"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Personnel Costs","ASF","255.1"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Capital Outlay","ASF","4.0"
"2016","EXP","020610","Judicial","Court of Common Pleas","Court of Common Pleas","Court Security","ASF","149.3"
"2016","EXP","020810","Judicial","Family Court","Family Court","Personnel Costs","GF","20,435.6"
"2016","EXP","020810","Judicial","Family Court","Family Court","Travel","GF","34.8"
"2016","EXP","020810","Judicial","Family Court","Family Court","Contractual Services","GF","361.2"
"2016","EXP","020810","Judicial","Family Court","Family Court","Supplies and Materials","GF","116.2"
"2016","EXP","020810","Judicial","Family Court","Family Court","Personnel Costs","ASF","4,279.4"
"2016","EXP","020810","Judicial","Family Court","Family Court","Travel","ASF","12.3"
"2016","EXP","020810","Judicial","Family Court","Family Court","Contractual Services","ASF","289.7"
"2016","EXP","020810","Judicial","Family Court","Family Court","Supplies and Materials","ASF","81.8"
"2016","EXP","020810","Judicial","Family Court","Family Court","Capital Outlay","ASF","48.0"
"2016","EXP","020810","Judicial","Family Court","Family Court","Child Protection Registry Appeals","ASF","113.3"
"2016","EXP","020810","Judicial","Family Court","Family Court","Court Security","ASF","170.0"
"2016","EXP","020810","Judicial","Family Court","Family Court","Technology","ASF","50.0"
"2016","EXP","020810","Judicial","Family Court","Family Court","Technology Maintenance","ASF","0.0"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Personnel Costs","GF","16,531.3"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Travel","GF","12.8"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Contractual Services","GF","1,542.1"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Energy","GF","105.8"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Supplies and Materials","GF","128.2"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Personnel Costs","ASF","1,403.7"
"2016","EXP","021310","Judicial","Justice of the Peace Court","Justice of the Peace Court","Court Security","ASF","788.5"
"2016","EXP","021510","Judicial","Central Services Account","Central Services Account","Contractual Services","ASF","60.1"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Personnel Costs","GF","2,570.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Travel","GF","12.2"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Contractual Services","GF","543.1"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Supplies and Materials","GF","86.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Child Attorney","GF","328.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Continuing Judicial Education","GF","58.3"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Court Appointed Attorneys/Involuntary Co","GF","177.6"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Elder Law Program","GF","47.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Family Court Civil Attorneys","GF","864.4"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Interpreters","GF","523.3"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","New Castle County Courthouse","GF","361.4"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Retired Judges","GF","60.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Victim Offender Mediation Program","GF","361.1"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","Judicial Services","ASF","1,200.0"
"2016","EXP","021701","Judicial","AOC - Court Services","Office of State Court Administrator","New Castle County Courthouse","ASF","33.4"
"2016","EXP","021703","Judicial","AOC - Court Services","Office of State Court Collections Enforc","Personnel Costs","GF","510.7"
"2016","EXP","021703","Judicial","AOC - Court Services","Office of State Court Collections Enforc","Travel","GF","2.9"
"2016","EXP","021703","Judicial","AOC - Court Services","Office of State Court Collections Enforc","Contractual Services","GF","33.4"
"2016","EXP","021703","Judicial","AOC - Court Services","Office of State Court Collections Enforc","Energy","GF","3.1"
"2016","EXP","021703","Judicial","AOC - Court Services","Office of State Court Collections Enforc","Supplies and Materials","GF","12.5"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Personnel Costs","GF","2,962.3"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Travel","GF","14.3"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Contractual Services","GF","518.1"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Supplies and Materials","GF","32.6"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Capital Outlay","GF","240.9"
"2016","EXP","021704","Judicial","AOC - Court Services","Information Technology","Technology Maintenance","GF","715.8"
"2016","EXP","021705","Judicial","AOC - Court Services","Law Libraries","Personnel Costs","GF","192.2"
"2016","EXP","021705","Judicial","AOC - Court Services","Law Libraries","Contractual Services","GF","62.8"
"2016","EXP","021705","Judicial","AOC - Court Services","Law Libraries","Supplies and Materials","GF","215.0"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Personnel Costs","GF","612.0"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Travel","GF","3.7"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Contractual Services","GF","30.9"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Supplies and Materials","GF","3.7"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Special Needs Fund","GF","0.5"
"2016","EXP","021801","Judicial","AOC - Non-Judicial Services","Office of the Public Guardian","Personnel Costs","ASF","76.7"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Personnel Costs","GF","419.2"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Travel","GF","19.6"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Contractual Services","GF","40.1"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Supplies and Materials","GF","9.3"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Capital Outlay","GF","0.2"
"2016","EXP","021803","Judicial","AOC - Non-Judicial Services","Child Placement Review Board","Ivy Davis Scholarship Fund","GF","75.0"
"2016","EXP","021805","Judicial","AOC - Non-Judicial Services","Office of the Child Advocate","Personnel Costs","GF","898.0"
"2016","EXP","021805","Judicial","AOC - Non-Judicial Services","Office of the Child Advocate","Travel","GF","4.3"
"2016","EXP","021805","Judicial","AOC - Non-Judicial Services","Office of the Child Advocate","Contractual Services","GF","65.6"
"2016","EXP","021805","Judicial","AOC - Non-Judicial Services","Office of the Child Advocate","Energy","GF","4.3"
"2016","EXP","021805","Judicial","AOC - Non-Judicial Services","Office of the Child Advocate","Supplies and Materials","GF","7.3"
"2016","EXP","021806","Judicial","AOC - Non-Judicial Services","Maternal and Child Death Review Commission","Personnel Costs","GF","306.8"
"2016","EXP","021806","Judicial","AOC - Non-Judicial Services","Maternal and Child Death Review Commission","Travel","GF","3.2"
"2016","EXP","021806","Judicial","AOC - Non-Judicial Services","Maternal and Child Death Review Commission","Contractual Services","GF","60.1"
"2016","EXP","021806","Judicial","AOC - Non-Judicial Services","Maternal and Child Death Review Commission","Supplies and Materials","GF","7.0"
"2016","EXP","021807","Judicial","AOC - Non-Judicial Services","DE Nrsng Hm Rsdnts Qlty Assre Cm","Personnel Costs","GF","57.4"
"2016","EXP","021807","Judicial","AOC - Non-Judicial Services","DE Nrsng Hm Rsdnts Qlty Assre Cm","Travel","GF","2.0"
"2016","EXP","021807","Judicial","AOC - Non-Judicial Services","DE Nrsng Hm Rsdnts Qlty Assre Cm","Contractual Services","GF","1.5"
"2016","EXP","021807","Judicial","AOC - Non-Judicial Services","DE Nrsng Hm Rsdnts Qlty Assre Cm","Supplies and Materials","GF","1.0"
"2016","EXP","100101","Executive","Office of the Governor","Office of the Governor","Personnel Costs","GF","2,670.2"
"2016","EXP","100101","Executive","Office of the Governor","Office of the Governor","Travel","GF","8.9"
"2016","EXP","100101","Executive","Office of the Governor","Office of the Governor","Contractual Services","GF","157.0"
"2016","EXP","100101","Executive","Office of the Governor","Office of the Governor","Supplies and Materials","GF","22.3"
"2016","EXP","100101","Executive","Office of the Governor","Office of the Governor","Woodburn Expenses","GF","70.0"
"2016","EXP","100205","Executive","Office of Management and Budget","Administration","Personnel Costs","GF","944.5"
"2016","EXP","100205","Executive","Office of Management and Budget","Administration","Travel","GF","3.3"
"2016","EXP","100205","Executive","Office of Management and Budget","Administration","Contractual Services","GF","22.9"
"2016","EXP","100205","Executive","Office of Management and Budget","Administration","Supplies and Materials","GF","8.7"
"2016","EXP","100205","Executive","Office of Management and Budget","Administration","Capital Outlay","GF","2.2"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Personnel Costs","GF","3,386.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Travel","GF","2.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Contractual Services","GF","108.3"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Supplies and Materials","GF","28.9"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Capital Outlay","GF","3.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Budget Automation - Operations","GF","35.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Personnel Costs","ASF","1,295.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Travel","ASF","8.1"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Contractual Services","ASF","455.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Supplies and Materials","ASF","19.2"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Capital Outlay","ASF","36.0"
"2016","EXP","100210","Executive","Office of Management and Budget","Budget Development and Planning","Trans & Invest","ASF","500.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Child Care Contingency","GF","5,000.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Civil Indigent Services","GF","600.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Elder Tax Relief & Ed Exp Fund","GF","25,183.7"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Judicial Nominating Committee","GF","8.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","KIDS Count","GF","90.5"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Legal Fees","GF","635.4"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Local Law Enforcement Education","GF","70.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","One-Time","GF","0.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Personnel Costs - Salary Shortage","GF","400.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Prior Years' Obligations","GF","450.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Salary/OEC Contingency","GF","75,337.9"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Self Insurance","GF","950.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Substance Use Disorder Services","GF","0.0"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Technology","GF","711.2"
"2016","EXP","100211","Executive","Office of Management and Budget","Contingencies and One-Time Items","Appropriated Special Funds","ASF","41,747.5"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Personnel Costs","GF","2,672.6"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Travel","GF","2.8"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Contractual Services","GF","264.7"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Supplies and Materials","GF","18.8"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Capital Outlay","GF","6.5"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Agency Aide","GF","372.9"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Personnel Costs","ASF","1,523.9"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Travel","ASF","5.3"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Contractual Services","ASF","62.7"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Supplies and Materials","ASF","29.3"
"2016","EXP","100220","Executive","Office of Management and Budget","Human Resource Operations","Capital Outlay","ASF","41.7"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Personnel Costs","GF","371.8"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Travel","GF","0.3"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Contractual Services","GF","196.0"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Personnel Costs","ASF","454.9"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Travel","ASF","3.3"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Contractual Services","ASF","16.6"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Supplies and Materials","ASF","27.9"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Capital Outlay","ASF","6.5"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Blue Collar","ASF","180.0"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Retiree Conference","ASF","18.0"
"2016","EXP","100221","Executive","Office of Management and Budget","Staff Development and Training","Training Expenses","ASF","35.0"
"2016","EXP","100230","Executive","Office of Management and Budget","Statewide Benefits","Flexible Benefits Administration","GF","0.0"
"2016","EXP","100231","Executive","Office of Management and Budget","Insurance Coverage Office","Contractual Services","GF","4,000.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Health Insurance - Retirees in CSPP","GF","3,653.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Pensions - Paraplegic Veterans","GF","51.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Pensions - Retirees in CSPP","GF","23,300.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Personnel Costs","ASF","4,156.7"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Travel","ASF","16.4"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Contractual Services","ASF","1,941.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Supplies and Materials","ASF","80.8"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Capital Outlay","ASF","25.5"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","Other Items","ASF","300.0"
"2016","EXP","100232","Executive","Office of Management and Budget","Pensions","CRIS Upgrade","ASF","0.0"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Personnel Costs","GF","599.4"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Contractual Services","GF","157.7"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Energy","GF","7.5"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Supplies and Materials","GF","17.7"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Contractual Services","ASF","2,233.1"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Supplies and Materials","ASF","2.0"
"2016","EXP","100240","Executive","Office of Management and Budget","Mail/Courier Services","Capital Outlay","ASF","5.0"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Personnel Costs","ASF","2,078.3"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Travel","ASF","5.3"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Contractual Services","ASF","3,254.4"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Energy","ASF","26.0"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Supplies and Materials","ASF","4,075.0"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Capital Outlay","ASF","311.0"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Cars & Wagons","ASF","5,506.0"
"2016","EXP","100242","Executive","Office of Management and Budget","Fleet Management","Fleet Link Expenses","ASF","727.2"
"2016","EXP","100243","Executive","Office of Management and Budget","Service and Information Guide (SIG)","Personnel Costs","GF","0.0"
"2016","EXP","100243","Executive","Office of Management and Budget","Service and Information Guide (SIG)","Contractual Services","GF","0.0"
"2016","EXP","100243","Executive","Office of Management and Budget","Service and Information Guide (SIG)","Energy","GF","0.0"
"2016","EXP","100243","Executive","Office of Management and Budget","Service and Information Guide (SIG)","Supplies and Materials","GF","0.0"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Personnel Costs","GF","1,457.0"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Travel","GF","0.3"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Contractual Services","GF","128.4"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Energy","GF","11.5"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Supplies and Materials","GF","11.1"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Capital Outlay","GF","2.6"
"2016","EXP","100244","Executive","Office of Management and Budget","Contracting","Personnel Costs","ASF","32.7"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Personnel Costs","ASF","317.7"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Travel","ASF","1.0"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Contractual Services","ASF","51.6"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Energy","ASF","18.7"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Supplies and Materials","ASF","9.0"
"2016","EXP","100245","Executive","Office of Management and Budget","Delaware Surplus Services","Capital Outlay","ASF","21.1"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Personnel Costs","GF","297.6"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Contractual Services","GF","4.0"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Energy","GF","56.6"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Supplies and Materials","GF","5.6"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Personnel Costs","ASF","202.8"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Travel","ASF","1.8"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Contractual Services","ASF","60.0"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Energy","ASF","25.0"
"2016","EXP","100246","Executive","Office of Management and Budget","Food Distribution","Supplies and Materials","ASF","20.0"
